Filename,Name,Flairtext,Abbreviated,File,Sheet,Row,Col,Index,Subsort,Division,Conference,Subconference,Conf,Confsort,Selectdisplay,Selectflair,Selectinline,Shortcutflair,Shortcutinline,Shortcutletter,Width,Height,Flair,Flair1,Flair2
albany,Albany Great Danes,Albany Great Danes,Albany,D1,1,2,1,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,albany,#f/albany,None,60,60,albany,albany-sheet1-row02-col01,albany-2sht1-2rw02-2cl01
binghamton,Binghamton Bearcats,Binghamton Bearcats,Binghamton,D1,1,2,2,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,binghamton,#f/binghamton,None,60,60,binghamton,binghamton-sheet1-row02-col02,binghamton-2sht1-2rw02-2cl02
hartford,Hartford Hawks,Hartford Hawks,Hartford,D1,1,2,3,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,hartford,#f/hartford,None,60,60,hartford,hartford-sheet1-row02-col03,hartford-2sht1-2rw02-2cl03
maine,Maine Black Bears,Maine Black Bears,Maine,D1,1,2,4,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,maine,#f/maine,None,60,60,maine,maine-sheet1-row02-col04,maine-2sht1-2rw02-2cl04
umbc,UMBC Retrievers,UMBC Retrievers,UMBC,D1,1,2,5,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,umbc,#f/umbc,None,60,60,umbc,umbc-sheet1-row02-col05,umbc-2sht1-2rw02-2cl05
newhampshire,New Hampshire Wildcats,New Hampshire Wildcats,New Hampshire,D1,1,2,6,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,newhampshire,#f/newhampshire,None,60,60,newhampshire,newhampshire-sheet1-row02-col06,newhampshire-2sht1-2rw02-2cl06
massachusettslowell,UMass Lowell River Hawks,UMass River Hawks,UMass ,D1,1,2,7,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,umass,#f/umass,None,60,60,umass,massachusettslowell-sheet1-row02-col07,massachusettslowell-2sht1-2rw02-2cl07
stonybrook,Stony Brook Seawolves,Stony Brook Seawolves,Stony Brook,D1,1,2,8,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,stonybrook,#f/stonybrook,None,60,60,stonybrook,stonybrook-sheet1-row02-col08,stonybrook-2sht1-2rw02-2cl08
vermont,Vermont Catamounts,Vermont Catamounts,Vermont,D1,1,2,9,1,1,D1,American East,None,AE,0,TRUE,TRUE,TRUE,vermont,#f/vermont,None,60,60,vermont,vermont-sheet1-row02-col09,vermont-2sht1-2rw02-2cl09
cincinnati,Cincinnati Bearcats,Cincinnati Bearcats,Cincinnati,D1,1,3,1,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,cincinnati,#f/cincinnati,None,60,60,cincinnati,cincinnati-sheet1-row03-col01,cincinnati-2sht1-2rw03-2cl01
connecticut,Connecticut Huskies,Connecticut Huskies,Connecticut,D1,1,3,2,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,connecticut,#f/connecticut,None,60,60,connecticut,connecticut-sheet1-row03-col02,connecticut-2sht1-2rw03-2cl02
eastcarolina,East Carolina Pirates,East Carolina Pirates,East Carolina,D1,1,3,3,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,eastcarolina,#f/eastcarolina,None,60,60,eastcarolina,eastcarolina-sheet1-row03-col03,eastcarolina-2sht1-2rw03-2cl03
houston,Houston Cougars,Houston Cougars,Houston,D1,1,3,4,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,houston,#f/houston,None,60,60,houston,houston-sheet1-row03-col04,houston-2sht1-2rw03-2cl04
memphis,Memphis Tigers,Memphis Tigers,Memphis,D1,1,3,5,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,memphis,#f/memphis,None,60,60,memphis,memphis-sheet1-row03-col05,memphis-2sht1-2rw03-2cl05
smu,SMU Mustangs,SMU Mustangs,SMU,D1,1,3,7,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,smu,#f/smu,None,60,60,smu,smu-sheet1-row03-col07,smu-2sht1-2rw03-2cl07
southflorida,South Florida Bulls,South Florida Bulls,South Florida,D1,1,3,8,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,southflorida,#f/southflorida,None,60,60,southflorida,southflorida-sheet1-row03-col08,southflorida-2sht1-2rw03-2cl08
temple,Temple Owls,Temple Owls,Temple,D1,1,3,9,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,temple,#f/temple,None,60,60,temple,temple-sheet1-row03-col09,temple-2sht1-2rw03-2cl09
tulane,Tulane Green Wave,Tulane Green Wave,Tulane,D1,1,3,10,2,3,D1,American,None,AAC,0,TRUE,TRUE,TRUE,tulane,#f/tulane,None,60,60,tulane,tulane-sheet1-row03-col10,tulane-2sht1-2rw03-2cl10
